Date,Name,Subscribed,Played
2020-11-25 13:15:38.658372,Bill Gates and Rashida Jones Ask Big Questions,8801,14149
2020-11-25 13:15:39.645587,The Joe Rogan Experience,3188175,151302726
2020-11-25 13:15:40.779091,Crime Junkie,554387,17331816
2020-11-25 13:15:41.851576,The Daily,1106670,51093322
2020-11-25 13:15:42.868619,Do No Harm,12099,44178
2020-11-25 13:15:43.904497,The Dan Bongino Show,67791,4282079
2020-11-25 13:15:44.870005,Real Dictators,5900,59066
2020-11-25 13:15:45.948867,House of Broken Dreams: The Jennifer Kesse Story,1896,11872
2020-11-25 13:15:46.903044,The Ben Shapiro Show,392889,27372999
2020-11-25 13:15:47.846995,Dr. Death Season 2: Dr. Fata,42730,142433
2020-11-25 13:15:48.863995,Morbid: A True Crime Podcast,45103,2239862
2020-11-25 13:15:49.870025,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,781302,26657542
2020-11-25 13:15:50.856711,This American Life,1292049,13993271
2020-11-25 13:15:51.873435,Up First,342916,14875249
2020-11-25 13:15:52.789044,Graham Allen’s Dear America Podcast,4016,160330
2020-11-25 13:15:53.707788,Dateline NBC,155114,9279871
2020-11-25 13:15:54.648508,Armchair Expert with Dax Shepard,538937,14618279
2020-11-25 13:15:55.704603,Unlocking Us with Brené Brown,88622,1177345
2020-11-25 13:15:56.643507,Pod Save America,331110,10461836
2020-11-25 13:15:57.822729,You're Wrong About,23312,660669
2020-11-25 13:15:58.962015,SmartLess,25665,285233
2020-11-25 13:15:59.922687,Stuff You Should Know,1820041,42586519
2020-11-25 13:16:00.885708,The Charlie Kirk Show,12650,652474
2020-11-25 13:16:01.855728,Call Her Daddy,216056,4951139
2020-11-25 13:16:02.885740,Unashamed with Phil & Jase Robertson,13867,571246
2020-11-25 13:16:03.755271,That's Messed Up: An SVU Podcast,389,263
2020-11-25 13:16:04.650653,Louder Than A Riot,1773,11793
2020-11-25 13:16:05.620179,The Megyn Kelly Show,12897,109894
2020-11-25 13:16:06.584781,Fresh Air,361315,8980680
2020-11-25 13:16:07.503646,Dead and Gone,9663,51129
2020-11-25 13:16:08.472328,Pardon My Take,159261,3805121
2020-11-25 13:16:09.504522,Consider This from NPR,22764,841353
2020-11-25 13:16:10.465714,The Daily Show With Trevor Noah: Ears Edition,176119,9553234
2020-11-25 13:16:11.360226,CHARLI AND DIXIE: 2 CHIX,14400,31225
2020-11-25 13:16:12.341896,The Bill Simmons Podcast,144033,4990796
2020-11-25 13:16:13.296279,Tom Brown's Body,6491,46025
2020-11-25 13:16:14.524644,Conan O’Brien Needs A Friend,202242,6880581
2020-11-25 13:16:15.452019,Dr. Death,441531,5591705
2020-11-25 13:16:16.351651,California City,1150,18481
2020-11-25 13:16:17.337537,Office Ladies,149980,3447776
2020-11-25 13:16:18.353178,The Dave Ramsey Show,376074,27753510
2020-11-25 13:16:19.088897,Tenfold More Wicked,670,1041
2020-11-25 13:16:20.072224,The Michelle Obama Podcast,27549,50226
2020-11-25 13:16:21.196636,Mark Levin Podcast,64836,2548826
2020-11-25 13:16:22.149960,Hidden Brain,922401,10465198
2020-11-25 13:16:23.176297,2 Bears 1 Cave with Tom Segura & Bert Kreischer,47132,1751697
2020-11-25 13:16:24.480253,The Rush Limbaugh Show,6895,268616
2020-11-25 13:16:25.403206,Anatomy of Murder,11870,74937
2020-11-25 13:16:26.681501,The NPR Politics Podcast,340445,7419225
2020-11-25 13:16:27.606655,The Candace Owens Show,14102,276904
2020-11-25 13:16:28.623191,Wait Wait... Don't Tell Me!,504137,5165988
2020-11-25 13:16:29.916387,Sway,5788,44975
2020-11-25 13:16:31.214773,Radiolab,855966,7658961
2020-11-25 13:16:32.180883,How I Built This with Guy Raz,554559,7655089
2020-11-25 13:16:33.152081,Bannon's War Room,3391,336061
2020-11-25 13:16:34.146701,Serial,1491973,9273871
